pH,EC,CO3,HCO3,Cl,SO4,NO3,Ca,Mg,Na,K,F,tds,Actual_WQI,Predicted_WQI,Calculated_WQI,Classification
7.38,777.7,0.0,213.5,159.5,12.6,0.0,44.0,24.3,92.4,5.6,0.09,368,184.40542,187.3536559000001,169.90400000000002,Moderate (Filtration required)
8.18,790.0,0.0,244.0,92.0,52.0,35.0,44.0,34.0,78.0,3.1,0.49,529,214.47812,212.06420046999992,237.45400000000004,Poor (Needs purification before use)
8.08,805.3,0.0,396.6,31.9,22.0,11.5,60.1,15.8,87.5,10.1,0.26,263,180.73082,176.56090511999994,130.394,Moderate (Filtration required)
7.69,764.4,0.0,274.6,46.1,32.1,80.6,42.1,46.2,27.1,0.7,0.4,452,200.67886,198.44061840000003,209.597,Poor (Needs purification before use)
7.6,970.0,0.0,390.5,85.1,27.0,21.1,64.0,24.3,55.0,85.4,0.65,1181,339.5424,336.9944700000004,501.17,Highly Polluted (Not for any domestic use)
7.14,612.0,0.0,154.0,30.0,42.0,90.0,78.0,16.0,22.0,2.7,0.18,398,167.20916,163.89317311100015,189.542,Moderate (Filtration required)
7.63,362.0,0.0,134.2,14.2,9.3,38.0,48.0,7.2,12.0,1.9,0.34,489,135.03802,134.83390700000007,214.449,Poor (Needs purification before use)
8.26,1549.0,0.0,320.0,187.0,115.0,35.0,26.0,35.0,220.0,3.0,0.48,929,387.06664,395.8002600680001,392.37800000000004,"Very Poor (Not suitable for drinking, high risk)"
7.9,639.0,0.0,190.0,47.0,18.0,30.0,86.0,23.0,27.0,12.1,0.39,415,167.5652,168.83173147900007,201.07,Poor (Needs purification before use)
6.68,145.0,0.0,12.2,25.6,12.2,41.5,9.6192,3.8912,14.1,3.6,0.0,87,41.9506592,38.082227243999995,40.85712,Excellent (Safe for drinking)
7.65,1012.0,0.0,537.0,70.9,31.0,16.0,44.0,38.9,147.1,2.0,2.0,1181,355.2953,349.6570134000001,499.56500000000005,"Severely Contaminated (Avoid drinking, high health risk)"
7.71,981.0,0.0,530.7,24.9,12.1,3.8,48.0,7.3,105.0,43.0,0.05,84,185.74584,179.77416403200002,52.503,Good (Minor treatment needed)
5.93,420.0,0.0,18.0,64.0,10.0,112.0,12.0,4.0,78.0,9.0,0.53,252,114.53002,107.53434630199996,107.379,Moderate (Filtration required)
7.99,797.2,0.0,286.8,124.1,54.8,22.3,46.1,62.0,36.7,2.8,1.04,862,266.39596,261.4953482,379.627,"Very Poor (Not suitable for drinking, high risk)"
7.82,960.0,0.0,317.0,114.0,39.0,58.0,64.0,78.0,47.0,1.4,0.79,576,251.09488,249.62038852,275.346,Poor (Needs purification before use)
8.05,450.8,0.0,152.6,31.9,32.7,29.4,32.1,29.2,12.2,0.4,0.3,800,193.8368,190.23760280000002,340.805,"Very Poor (Not suitable for drinking, high risk)"
